Name,Room Type,Days of Stay,Price per Night ($),# of tenants,Total Reviews,Experience Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Overall Rating,Bayesian Rating
Yaletown 1BD Condo @ Homer & Robson,Entire home/apt,30,110.0,2,128,9.8,10.0,10.0,10.0,10.0,49.8,48.634583258661586
2 bdrm in COMPLETLY RENOVATED HOME BY CANADA LINE,Entire home/apt,1,219.0,3,7,8.9,9.0,10.0,10.0,9.0,46.9,48.39345407226107
Cozy Modern apartment in Yaletown,Entire home/apt,30,110.0,3,90,9.0,9.0,9.0,9.0,10.0,46.0,48.120905285030126
Gorgeous New House Double Ensuite,Private room,31,75.0,1,40,9.700000000000001,10.0,10.0,10.0,9.0,48.7,48.42581306886418
A spacious modern apartment,Entire home/apt,30,112.0,1,33,9.4,10.0,10.0,10.0,10.0,49.4,48.45628888394627
Gorgeous New House Single Ensuite,Private room,31,65.0,1,22,9.600000000000001,10.0,10.0,9.0,10.0,48.6,48.41538124903897
good sized bedroom on second floor,Private room,31,58.0,1,7,9.700000000000001,9.0,10.0,10.0,10.0,48.7,48.41228815297856
South Granville 2 bedroom townhome,Entire home/apt,7,175.0,3,14,9.9,10.0,10.0,10.0,10.0,49.9,48.440119488672565
Kitsilano PENTHOUSE,Entire home/apt,30,100.0,1,125,9.5,10.0,10.0,10.0,10.0,49.5,48.582491454056736
5 star Luxury ShangriLa hotel condo,Entire home/apt,30,300.0,5,36,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.47581772828461
Gorgeous home in Yaletown,Entire home/apt,180,115.0,2,142,9.9,10.0,10.0,10.0,10.0,49.9,48.67253827654559
Bright Kitsilano Garden Apartment,Entire home/apt,28,85.0,3,51,9.9,10.0,10.0,10.0,10.0,49.9,48.51587766387469
Bed in Yaletown tops all neighborhoods,Shared room,31,42.0,1,62,9.5,10.0,10.0,10.0,10.0,49.5,48.50265300323571
Newly renovated room at quiet location,Private room,30,50.0,1,19,9.1,8.0,10.0,10.0,9.0,46.1,48.344817583469386
The Perfect Place For Your Next Family Vacation,Entire home/apt,10,525.0,6-10,18,10.0,10.0,10.0,10.0,10.0,50.0,48.45135407991567
Yaletown Fully Furnished 17th Floor Condo,Entire home/apt,30,81.0,3,95,8.700000000000001,9.0,9.0,9.0,10.0,45.7,48.0692480506508
Cozy Vancouver Suite near a park and transit,Entire home/apt,30,90.0,4,124,9.3,10.0,10.0,10.0,9.0,48.3,48.39201116328582
Gem Modern Apartment in Yaletown,Entire home/apt,30,95.0,1,96,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.5727186996605
Big Orange House,Entire home/apt,2,82.0,3,254,9.8,9.0,10.0,10.0,10.0,48.8,48.51759909862736
Vancouver Quality Coach House,Entire home/apt,30,125.0,2,180,9.9,10.0,10.0,10.0,10.0,49.9,48.727934411333315
